acc. date,type,reg.,operator,fat.,location,dmg
xx Oct 2001,Antonov An-24RV,YA-DAJ,Ariana Afghan Airlines,0,Kabul Airport (KBL),w/o
xx Oct 2001,Antonov An-24B,YA-DAH,Ariana Afghan Airlines,0,Kabul Airport (KBL),w/o
xx Oct 2001,Antonov An-12B,YA-DAA,Ariana Afghan Airlines,0,Kabul Airport (KBL),w/o
xx Oct 2001,Antonov An-12BK,YA-DAB,Ariana Afghan Airlines,0,Kabul Airport (KBL),w/o
xx Oct 2001,Boeing 727-155C,YA-FAW,Ariana Afghan Airlines,0,Kabul Airport (KBL),w/o
xx Oct 2001,Boeing 727-113C,YA-FAU,Ariana Afghan Airlines,0,Kabul Airport (KBL),w/o
24-Dec-99,Airbus A300B2-101,VT-EDW,Indian Airlines,1,Kandahar Airport (KDH),non
2-Aug-98,Antonov An-32,,Taliban Air Force,5,near Kunduz Airport (UND),w/o
19-Mar-98,Boeing 727-228,YA-FAZ,Ariana Afghan Airlines,45,15 km S of Kabul Airport (KBL),w/o
29-Oct-97,Yakovlev Yak-40,YA-KAE,Ariana Afghan Airlines,1,Jalalabad Airport (JAA),w/o
21-Aug-97,Antonov An-32,,United Front Air Force,7,Bamyan Airport (BIN),w/o
11-Sep-95,Antonov An-26B,YA-BAO,Ariana Afghan Airlines,3,near Jalalabad Airport (JAA),w/o
27-Apr-93,Antonov An-32,,Democratic Republic of Afghanistan Air Force - DRAAF,76,Tashqurghan,w/o
28-Aug-92,Ilyushin Il-76MD,CCCP-78780,Soviet Air Force,0,Kabul Airport (KBL),w/o
28-Aug-92,Antonov An-26,YA-BAN,Ariana Afghan Airlines,,Kabul Airport (KBL),w/o
1-Aug-92,Yakovlev Yak-40,YA-KAB,Ariana Afghan Airlines,,Kabul Airport (KBL),w/o
1-Aug-92,Tupolev Tu-154M,YA-TAP,Ariana Afghan Airlines,0,Kabul Airport (KBL),w/o
29-May-92,Tupolev Tu-154M,YA-TAP,Ariana Afghan Airlines,0,Kabul Airport (KBL),sub
10-Aug-90,Antonov An-12,,Democratic Republic of Afghanistan Air Force - DRAAF,83,near Shindand,w/o
12-Jun-90,Ilyushin Il-76MD,CCCP-86905,Aeroflot / Uzbekistan,0,near Kabul Airport (KBL),w/o
20-Apr-90,Antonov,,Afghanistan Government,10,Khost,w/o
27-Mar-90,Ilyushin Il-76MD,CCCP-78781,"Uzbek Civil Aviation Adminstration, lsf Soviet Air Force",9,"7,6 km E of Kabul Airport (KBL)",w/o
24-Aug-89,Antonov An-24,,Unknown,,Kabul Airport (KBL),w/o
31-Jul-89,Yakovlev Yak-40,YA-KAA,Ariana Afghan Airlines,0,Qala i Naw Airport (LQN),w/o
6-Mar-89,Antonov,,Ariana Afghan Airlines,2,Jalalabad Airport (JAA),w/o
23-Jan-89,Antonov An-12BP,CCCP-11987,Soviet Air Force,0,Kandahar Airport (KDH),w/o
7-Sep-88,Antonov An-32,,Democratic Republic of Afghanistan Air Force - DRAAF,16,near Kunduz,w/o
27-Aug-88,Antonov An-12,4,Soviet Air Force,,Kabul Airport (KBL),w/o
16-Aug-88,Antonov An-32,,Democratic Republic of Afghanistan Air Force - DRAAF,39,near Kunduz,w/o
24-Jun-88,Antonov An-26,29,Soviet Air Force,5,Kabul Airport (KBL),w/o
16-Jun-88,unknown,,Democratic Republic of Afghanistan Air Force - DRAAF,35,near Khost,w/o
10-Apr-88,Antonov An-26,,Democratic Republic of Afghanistan Air Force - DRAAF,29,near Maimana,w/o
21-Dec-87,Antonov An-26RT,64,Soviet Air Force,1,near Kabul Airport (KBL),w/o
22-Oct-87,Antonov An-26,,Soviet Air Force,8,near Jalalabad Airport (JAA),w/o
21-Oct-87,Antonov An-12BK,,Soviet Air Force,18,Kabul Airport (KBL),w/o
13-Sep-87,Antonov An-26,,Soviet Air Force,15,Kunduz,w/o
1-Sep-87,Antonov An-26,,Democratic Republic of Afghanistan Air Force - DRAAF,6,near Khost,w/o
13-Aug-87,Antonov An-12BP,,Soviet Air Force,0,over Gardez,sub
13-Aug-87,Antonov An-26,,Democratic Republic of Afghanistan Air Force - DRAAF,12,,w/o
12-Jul-87,Antonov An-12,,Soviet Air Force,,Kandahar Airport (KDH),w/o
21-Jun-87,Antonov An-32,,Democratic Republic of Afghanistan Air Force - DRAAF,3,near Kandahar,w/o
15-Jun-87,Antonov An-32,,Democratic Republic of Afghanistan Air Force - DRAAF,5,near Kandahar,w/o
11-Jun-87,Antonov An-26,YA-BAL,Bakhtar Afghan Airlines,53,near Khost,w/o
9-Feb-87,Antonov An-26,,Democratic Republic of Afghanistan Air Force - DRAAF,36,near Khost Airport (KHT),w/o
27-Dec-86,Antonov An-12,,Soviet Air Force,1,68 km from Kabul Airport (KBL),sub
26-Dec-86,Antonov An-26RT,22,Soviet Air Force,1,60 km from Kabul Airport (KBL),w/o
29-Nov-86,Antonov An-12,,Soviet Air Force,29,24 km from Kabul Airport (KBL),w/o
3-May-86,Yakovlev Yak-40,YA-KAF,Bakhtar Afghan Airlines,0,Qala i Naw Airport (LQN),sub
4-Sep-85,Antonov An-26,YA-BAM,Bakhtar Afghan Airlines,52,18 km W of Kandahar,w/o
11-Jul-85,Antonov An-12,,Soviet Air Force,14,22 km from Kandahar Airport (KDH),w/o
11-Mar-85,Antonov An-30B,05 red,Soviet Air Force,2,25 km N of Kabul Airport (KBL),w/o
22-Jan-85,Antonov An-26RT,5,Soviet Air Force,8,near Dzhabal'-Ussaradzh,w/o
8-Jan-85,de Havilland Canada DHC-6 Twin Otter 300,YA-GAY,Bakhtar Afghan Airlines,0,Bamyan,w/o
27-Oct-84,Ilyushin Il-76M,CCCP-86739,Soviet Air Force,11,20 km SE of Kabul Airport (KBL),w/o
15-Oct-84,Antonov An-12BP,CCCP-11405,Soviet Air Force,1,Khost Airport (KHT),w/o
24-Sep-84,Antonov An-12,,Soviet Air Force,1,near Zaranj,sub
21-Sep-84,McDonnell Douglas DC-10-30,YA-LAS,Ariana Afghan Airlines,0,Kabul Airport (KBL),sub
18-Jan-84,Antonov An-12,CCCP-11429,Soviet Air Force,8,40 km S of Mazar-I-Sharif Airport (MZR),w/o
16-Sep-83,Antonov An-12,,Soviet Air Force,,Bagram Air Base (BPM),w/o
2-Jul-83,Antonov An-12,,Soviet Air Force,5,near Jalalabad Airport (JAA),w/o
10-Mar-83,de Havilland Canada DHC-6 Twin Otter 300,YA-GAZ,Bakhtar Afghan Airlines,19,near Shashgow Ghazni,w/o
15-Feb-83,Antonov An-12,,Soviet Air Force,5,Jalalabad Airport (JAA),w/o
28-Oct-80,Antonov An-12B,CCCP-11104,"Aeroflot, International Civil Aviation Directorate",6,25 km SE of Kabul Airport (KBL),w/o
