acc. date,type,reg.,operator,fat.,location,dmg
5-Apr-77,Douglas C-47A-25-DK (DC-3),VT-EEL,National Remote Sensing Agency,10,"Edavlli, Prakasam, Andhra Pradesh",w/o
26-Nov-76,Fairchild C-119 Flying Boxcar,,Indian Air Force - IAF,0,near Tumkur,w/o
12-Oct-76,Sud Aviation SE-210 Caravelle VI-N,VT-DWN,Indian Airlines,95,Bombay-Santacruz Airport (BOM),w/o
17-Sep-76,Douglas C-47A-90-DL (DC-3),VT-AXC,Madhya Pradesh Government,0,Bhopal Airport (BHO),w/o
24-Jul-76,Fokker F-27 Friendship 100,VT-DMD,Indian Airlines,0,Bhubaneswar Airport (BBI),w/o
8-Nov-75,Boeing 747-136,G-AWNA,British Airways,0,Mumbai-Chhatrapati Shivaji International Airport (BOM/VABB),sub
17-Jun-75,Sud Aviation SE-210 Caravelle VI-N,VT-DVJ,Indian Airlines,0,Bombay-Santacruz Airport (BOM),w/o
12-Jun-75,Boeing 747-128,N28888,Air France,0,Bombay-Santacruz Airport (BOM),w/o
19-May-75,Douglas C-47 (DC-3),BJ975,Indian Air Force - IAF,,,w/o
27-Apr-75,Hindustan Aeronautics Ltd. HAL-748-247 Srs. 2,H-1520,Indian Air Force - IAF,,Yallahanpur,w/o
7-Mar-75,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,VT-DXO,Indian Airlines,0,Rajkot-Civil Airport (RAJ),sub
18-Feb-75,Boeing 737-2A8,VT-EAK,Indian Airlines,0,Bangalore-Hindustan Airport (BLR),sub
4-Feb-75,Douglas C-47 (DC-3),IJ818,Indian Air Force - IAF,,,w/o
7-Sep-74,Douglas C-47A-DK (DC-3),BJ920,Indian Air Force - IAF,,,w/o
26-Apr-74,Douglas C-47 (DC-3),HJ254,Indian Air Force - IAF,,,w/o
7-Jan-74,Antonov An-12A,BL740,Indian Air Force - IAF,0,Chennai Airport (MAA),w/o
20-Dec-73,Boeing 707-330B,D-ABOT,Lufthansa,0,1 km from Delhi-Palam Airport (DEL),w/o
16-Oct-73,Boeing 707-327C,OD-AFX,Trans Mediterranean Airways - TMA,0,Bombay-Santacruz Airport (BOM),sub
7-Aug-73,Douglas C-47 (DC-3),HJ916,Indian Air Force - IAF,,,w/o
20-Jul-73,Fokker F-27 Friendship 100,VT-DMD,Indian Airlines,0,Calcutta Airport (CCU),sub
3-Jul-73,Sud Aviation SE-210 Caravelle VI-N,VT-DPO,Indian Airlines,0,Bombay-Santacruz Airport (BOM),sub
10-Jun-73,de Havilland Canada DHC-6 Twin Otter,,Royal Nepal Airlines,0,Bihar,unk
31-May-73,Boeing 737-2A8,VT-EAM,Indian Airlines,48,6 km from Delhi-Indira Gandhi International Airport (DEL),w/o
2-May-73,Douglas C-47A-65-DL (DC-3),VT-AYH,Indian Airlines,0,Bhavnagar Airport (BHU),sub
1-May-73,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,VT-DXH,Indian Airlines,0,Hyderabad-Begumpet Airport (HYD),sub
15-Mar-73,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,VT-EAU,Indian Airlines,3+1,near Hyderabad-Begumpet Airport (HYD),w/o
24-Sep-72,Douglas DC-8-53,JA8013,Japan Air Lines - JAL,0,Bombay-Juhu Airport,sub
12-Aug-72,Fokker F-27 Friendship 100,VT-DME,Indian Airlines,18,"1,5 km S of Delhi-Palam Airport (DEL)",w/o
31-Jul-72,Douglas C-47A-25-DK (DC-3),VT-ATZ,Jamair,0,Ambari Falakata Airport,sub
9-Jul-72,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,VT-DXJ,Indian Airlines,0,Belgaum-Sambre Airport (IXG),sub
14-Jun-72,Douglas DC-8-53,JA8012,Japan Air Lines - JAL,82+4,ca 20 km E of Delhi-Palam Airport (DEL),w/o
12-May-72,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,VT-EAT,Indian Airlines,0,Cochin Airport (COK),sub
6-May-72,Fairchild C-119 Flying Boxcar,,Indian Air Force - IAF,4,,w/o
17-Dec-71,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,VT-DXO,Indian Airlines,0,Trivandrum Airport (TRV),sub
17-Dec-71,Douglas C-47 (DC-3),HJ244,Indian Air Force - IAF,,Machuka,w/o
17-Dec-71,Douglas C-47B-5-DK (DC-3),BJ622,Indian Air Force - IAF,5,Machuka,w/o
9-Dec-71,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,VT-DXG,Indian Airlines,21,near Cumbum,w/o
21-Aug-71,Douglas C-47A-25-DK (DC-3),BJ923,Indian Air Force - IAF,,,w/o
16-Aug-71,Antonov An-12A,BL918,Indian Air Force - IAF,11,near Ahmednagar,w/o
9-Aug-71,Vickers 768D Viscount,VT-DIX,Indian Airlines,0,Jaipur-Sanganer Airport (JAI),sub
29-Jul-71,Antonov An-12B,CCCP-12993,"Aeroflot, International Civil Aviation Directorate",0,Calcutta-Dum Dum Airport (CCU),sub
13-Jul-71,Fokker F-27 Friendship 100,VT-DOL,Indian Airlines,0,Gauhati-Borjhar Airport (GAU),sub
20-Jun-71,Hindustan Aeronautics Ltd. HAL-748-224 Srs. 2,VT-DXM,Indian Airlines,0,Madras Airport (MAA),sub
26-Mar-71,Douglas C-47A-90-DL (DC-3),VT-ATT,Jamair,15,near Hashimara,w/o
23-Jan-71,Boeing 707-437,VT-DJI,Air-India,0,Bombay-Santacruz Airport (BOM),w/o
7-Jan-71,Antonov An-2M,VT-DZB,Khemka Aviation,0,near Patna,sub
19-Dec-70,Antonov An-22,CCCP-09305,Soviet Air Force,17,Panagarh Airport,w/o
5-Dec-70,Douglas C-47A-1-DK (DC-3),VT-CZC,Jamair,5,near Delhi-Safdarjung Airport,w/o
30-Oct-70,Fairchild C-119G Flying Boxcar,BK970,Indian Air Force - IAF,0,Sawai,sub
29-Aug-70,Fokker F-27 Friendship 400,VT-DWT,Indian Airlines,39,19 km from Silchar-Kumbhirgram Airport (IXS),w/o
7-Jun-70,Fokker F-27 Friendship 200,VT-DVG,Indian Airlines,0,Agartala-Singerbhil Airport (IXA),w/o
25-Jan-70,Fokker F-27 Friendship 200,9N-AAR,Royal Nepal Airlines,1,3 km E of Delhi-Palam Airport (DEL),w/o
9-Jan-70,Vickers 768D Viscount,VT-DJB,Indian Airlines,0,Patna Airport (PAT),sub
12-Aug-69,Vickers 768D Viscount,VT-DJC,Indian Airlines,0,Calcutta Airport (CCU),sub
29-Jun-69,Fairchild C-119 Flying Boxcar,,Indian Air Force - IAF,14,27 km from Agra,w/o
14-Apr-69,Douglas C-47B-35-DK (DC-3),BJ913,Indian Air Force - IAF,,,w/o
21-Feb-69,Douglas C-47 (DC-3),IJ820,Indian Air Force - IAF,,,w/o
18-Feb-69,Douglas C-47A-10-DK (DC-3),VT-CJH,Indian Airlines,0,Jaipur-Sanganer Airport (JAI),sub
17-Jan-69,Douglas C-47A-50-DL (DC-3),VT-DTH,Hindu Publications,2,Kozhikode-Calicut Airport (CCJ),w/o
13-Jun-68,Boeing 707-321C,N798PA,Pan American World Airways (Pan Am),6,1 km from Calcutta-Dum Dum Airport (CCU),w/o
28-May-68,Convair CV-990-30A-5 Coronado,PK-GJA,Garuda Indonesia Airways,29+1,37 km N of Mumbai Airport (BOM),w/o
11-May-68,Douglas C-47 (DC-3),,Indian Air Force - IAF,5,"Mizo Hills, Mizoram State",w/o
11-May-68,de Havilland Canada DHC-3 Otter,IM-1719,Indian Air Force - IAF,2,near Saharanpur-Sarasawa Air Base,w/o
5-Apr-68,Douglas DC-3,VT-CML,Indian Airlines,0,Pune-Lohegaon Airport (PNQ),sub
7-Feb-68,Antonov An-12BP,BL534,Indian Air Force - IAF,102,Dhaka Glacier,w/o
25-Dec-67,Douglas DC-3,VT-DUC,Unknown,0,Tiruchirappalli-Civil Airport (TRZ),sub
29-Jun-67,Fokker F-27 Friendship 100,VT-DOM,Indian Airlines,0,Bhubaneswar Airport (BBI),sub
11-Mar-67,Douglas C-47A-25-DK (DC-3),VT-AUU,Indian Airlines,0,Rourkela Airport (RRK),sub
1-Jan-67,Douglas C-47 (DC-3),,Indian Air Force - IAF,1,Yellahanka AFB,w/o
4-Sep-66,Sud Aviation SE-210 Caravelle VI-N,VT-DSB,Indian Airlines,4,Mumbai (Bombay),w/o
3-Sep-66,de Havilland Canada DHC-3 Otter,,Indian Air Force - IAF,4,near Rajouri,w/o
25-Apr-66,Douglas C-47A-1-DK (DC-3),VT-DDR,Indian Airlines,0,Nagpur Airport (NAG),sub
1-Apr-66,Vickers 779D Viscount,VT-DOD,Indian Airlines,0,Guwahati-Borjhar Airport (GAU),sub
15-Feb-66,Sud Aviation SE-210 Caravelle VI-N,VT-DPP,Indian Airlines,2,Delhi-Palam Airport (DEL),w/o
7-Feb-66,Fokker F-27 Friendship 200,PH-SAB,"Indian Airlines, lsf Schreiner Airways",37,Banihall Pass,w/o
24-Oct-65,Douglas C-47A-90-DL (DC-3),VT-CEI,Kalinga Airlines,0,Mohanbari Airport (MOH),sub
17-Oct-65,Douglas C-47A-75-DL (DC-3),VT-AUQ,Kalinga Airlines,8,37 km N of Mohanbari,w/o
14-Sep-65,Douglas C-47 (DC-3),,Indian Air Force - IAF,,Barrackpore Air Force Station,w/o
14-Sep-65,Douglas C-47 (DC-3),,Indian Air Force - IAF,,Jammu-Satwari Airport (IXJ),w/o
14-Sep-65,Douglas C-47 (DC-3),,Indian Air Force - IAF,,Jamnagar-Govardhanpur Airport (JGA),w/o
14-Sep-65,Douglas C-47 (DC-3),,Indian Air Force - IAF,,Pathankot,w/o
14-Sep-65,Fairchild C-119G Flying Boxcar,,Indian Air Force - IAF,0,Barrackpore Air Force Station,w/o
10-Sep-65,Fairchild C-119G Flying Boxcar,,Indian Air Force - IAF,0,Baghdogra,w/o
8-Sep-65,de Havilland Canada CC-108 Caribou (DHC-4),5324,Royal Canadian Air Force - RCAF,0,Srinagar Airport (SXR),w/o
7-Sep-65,Douglas C-47 (DC-3),,Indian Air Force - IAF,,Srinagar Airport (SXR),w/o
7-Sep-65,Douglas DC-3,,Indian Airlines,0,Srinagar Airport (SXR),w/o
6-Sep-65,Fairchild C-119G Flying Boxcar,,Indian Air Force - IAF,0,Pathankot,w/o
19-Aug-65,de Havilland Canada DHC-3 Otter,BM-1002,Indian Air Force - IAF,,near Poonch,w/o
14-Apr-65,Douglas C-47 (DC-3),HJ218,Indian Air Force - IAF,9,Nagaland,w/o
5-Apr-65,de Havilland Canada DHC-3 Otter,IM-1727,Indian Air Force - IAF,4,near Tezpur,w/o
29-Dec-64,de Havilland Canada DHC-3 Otter,,Indian Air Force - IAF,,River Pasighat,w/o
15-Oct-64,Fokker F-27 Friendship 100,VT-DOL,Indian Airlines,0,Madras Airport (MAA),sub
30-Jul-64,Fairchild C-119 Flying Boxcar,,Indian Air Force - IAF,4,,w/o
7-Apr-64,Douglas C-47A-10-DK (DC-3),VT-CMD,Kalinga Airlines,0,Along Airport (IXV),w/o
2-Apr-64,Douglas C-47A-25-DK (DC-3),VT-COU,Kalinga Airlines,0,Calcutta-Dum Dum Airport (CCU),sub
4-Mar-64,Fairchild C-119 Flying Boxcar,,Indian Air Force - IAF,22,near Barrackpore Air Force Station,w/o
17-Feb-64,Ilyushin Il-14,,Indian Air Force - IAF,13,Banihal Pass,w/o
10-Feb-64,de Havilland Canada DHC-3 Otter,,Indian Air Force - IAF,3,"Mechuka, Uttar Pradesh",w/o
22-Nov-63,Douglas C-47 (DC-3),,Indian Air Force - IAF,10,"near Banihal pass, Kashmir",w/o
21-Oct-63,Fairchild C-119G Flying Boxcar,BK-962,Indian Air Force - IAF,8,Bangalore Airport (BLR),w/o
11-Sep-63,Vickers 768D Viscount,VT-DIO,Indian Airlines,18,51 km S of Agra,w/o
16-Aug-63,Tupolev Tu-104A,OK-LDB,CSA Ceskoslovenské Aerolinie,0,Mumbai-Santa Cruz Airport (BOM),w/o
28-Jul-63,de Havilland DH-106 Comet 4C,SU-ALD,United Arab Airlines - UAA,63,10 km WNW off Bombay Airport (BOM),w/o
16-Jul-63,Antonov An-12A,BL734,Indian Air Force - IAF,6,near Chandigarh Airport (IXC),w/o
3-Jun-63,Douglas DC-3 Hiper,VT-AUL,Indian Airlines,29,Sarna,w/o
1-Jan-63,Fairchild C-119 Flying Boxcar,,Indian Air Force - IAF,2,Banhilal,w/o
21-Sep-62,Douglas C-47A-1-DK (DC-3),VT-DGX,Kalinga Airlines,8,Sela Pass,w/o
16-Jul-62,Douglas C-47-DL (DC-3),VT-DFZ,Kalinga Airlines,9,"1,6 km N of Loheshyphu Dropping Zone, Naga Hills",w/o
7-Jul-62,Douglas DC-8-43,I-DIWD,Alitalia,94,11 km NW of Junnar,w/o
8-Jun-62,Fokker F-27 Friendship 100,VT-DMB,Indian Airlines,0,Delhi-Palam Airport (DEL),sub
7-May-62,Douglas C-47 (DC-3),HJ245,Indian Air Force - IAF,4,Arunachal Pradesh State,w/o
7-May-62,Douglas C-54A-15-DC (DC-4),VT-DIC,Indian Airlines,0,near Haveri,w/o
3-May-62,Douglas C-54A-15-DC (DC-4),VT-CZT,Indian Airlines,0,Calcutta-Dum Dum Airport (CCU),w/o
26-Dec-61,de Havilland Canada DHC-3 Otter,,Indian Air Force - IAF,1,"Kinnaur, Himachal Pradesh",w/o
7-Dec-61,Douglas C-47A-25-DK (DC-3),VT-AZV,Jamair,0,Amritsar,w/o
12-Oct-61,Douglas C-47 (DC-3),,Indian Air Force - IAF,3+2,Mahesh,w/o
26-Aug-61,Douglas C-47A-80-DL (DC-3),VT-AXA,Indian Airlines,0,Calcutta-Dum Dum Airport (CCU),w/o
5-Aug-61,Antonov An-12,BL536,Indian Air Force - IAF,,Chandigarh Airport (IXC),w/o
7-May-61,Douglas C-47 (DC-3),,Indian Air Force - IAF,4,,w/o
1-May-61,Douglas C-47 (DC-3),,Indian Air Force - IAF,,Rhimkhim,w/o
22-Mar-61,Douglas C-54A-15-DC (DC-4),N5519V,Seven Seas Airlines,0,12 km from Nagpur,w/o
10-Mar-61,Douglas C-47 (DC-3),,Indian Air Force - IAF,,Assam,w/o
19-Sep-60,Fairchild C-119G Flying Boxcar,IK459,Indian Air Force - IAF,5,near Chushul,w/o
12-Sep-60,Douglas DC-3C,VT-DFM,Indian Airlines,0,Agartala-Singerbhil Airport (IXA),sub
26-Aug-60,Douglas C-47 (DC-3),,Indian Air Force - IAF,0,Puri Post,w/o
10-Mar-60,Scottish Aviation Twin Pioneer 3,G-ANTP,Scottish Airlines,2,Jorhat-Rowriah Airport (JRH),w/o
29-Jan-60,Douglas R4D-1 (DC-3),AP-ABC,Pakistan International Airlines - PIA,0+1,Nagpur,min
3-Jan-60,Douglas C-47A-20-DK (DC-3),VT-CGG,Indian Airlines,9,"6,5 km NW of Taksing",w/o
23-Dec-59,Fairchild C-119 Flying Boxcar,,Indian Air Force - IAF,2,,w/o
3-Aug-59,Douglas C-47A-30-DL (DC-3),VT-DGP,Kalinga Airlines,6,Sagone,w/o
19-Jul-59,Lockheed L-1049G Super Constellation,VT-DIN,Air-India,0,Mumbai (Bombay),w/o
10-Jun-59,Martin PBM-5A Mariner,P-306,Marine Luchtvaart Dienst - MLD,8,"Mormugao, Goa",w/o
8-Jun-59,de Havilland  DH-106 Comet 4,G-APDA,British Overseas Airways Corporation - BOAC,0,Calcutta-Dum Dum Airport (CCU),sub
29-Mar-59,Douglas C-47A-90-DL (DC-3),VT-CGI,Indian Airlines,24,56 km W of Silchar,w/o
12-Mar-59,Douglas C-47A-10-DK (DC-3),VT-CYH,Indian Airlines,5,near Tobu,w/o
4-Mar-59,Douglas C-47 (DC-3),HJ243,Indian Air Force - IAF,,Brahmaputra River,w/o
8-Sep-58,Douglas C-54A-DO (DC-4),VT-DIA,Indian Airlines,0,Madras Airport (MAA),w/o
25-Jun-58,Douglas DC-3C,VT-COJ,Indian Airlines,5,near Damroh,w/o
25-May-58,Avro 685 York C.1,G-AMUV,Dan-Air Services,4,Gurgaon,w/o
15-May-58,Convair CV-240-7,AP-AEH,Pakistan International Airlines - PIA,21+2,Delhi-Palam Airport (DEL),w/o
20-Sep-57,Curtiss C-46A-45-CU Commando,PP-LEI,Western Hemisphere Import Export Co.,0,5 km from Panagarh,w/o
1-Sep-57,Douglas C-47A-25-DK (DC-3),VT-AUA,Indian Airlines,4,Calcutta-Dum Dum Airport (CCU),w/o
1-Sep-57,Handley Page HP.81 Hermes IVA,G-AKFP,Airwork,0+4,Calcutta-Dum Dum Airport (CCU),w/o
20-Aug-57,Douglas C-53 (DC-3),VT-ARH,Indamer,8,within Assam,w/o
19-Jun-57,Curtiss C-46A-55-CK Commando,N8013E,Western Hemisphere Import Export Co.,0,Panagarh Airport,w/o
19-Jun-57,Curtiss C-46A-45-CU Commando,42-96685,Western Hemisphere Import Export Co.,0,Panagarh Airport,w/o
8-May-57,Douglas C-47 (DC-3),HJ918,Indian Air Force - IAF,1,Pir Panjal,w/o
5-May-57,Douglas C-47A-90-DL (DC-3),VT-AUV,Indian Airlines,1,Santoshpur village,w/o
13-Mar-57,Douglas C-47A-25-DK (DC-3),VT-CFB,Indian Airlines,2+3,Kingsway Camp,w/o
8-Feb-57,Douglas C-47 (DC-3),IJ821,Indian Air Force - IAF,8,"near Kohima, Nagaland",w/o
25-Dec-56,Convair CV-240-5,AP-AHO,Pakistan International Airlines - PIA,0+2,near Bombay-Santacruz Airport (BOM),sub
19-Oct-56,Douglas DC-3,VT-DGK,Indian Airlines,3,Agartala,w/o
5-Sep-56,Vickers Valetta C.1,WD165,Royal Air Force - RAF,0,"1,6 km off Car Nicobar Airport (CBD)",w/o
18-May-56,Douglas C-47A-30-DK Dakota III,VT-CCD,Indian Airlines,0,Ahmedabad Airport (AMD),w/o
31-Mar-56,Douglas C-47A-60-DL (DC-3),VT-DCM,National Air Operators,3,Indapur,w/o
21-Mar-56,Douglas C-47A-20-DK (DC-3),VT-CGN,Indian Airlines,2,Tezpur-Salonibari Airport (TEZ),w/o
26-Nov-55,Douglas C-47 (DC-3),HJ250,Indian Air Force - IAF,0,near Agra-Kheria Air Force Station (AGR),w/o
25-Jun-55,Douglas C-47 (DC-3),,Indian Air Force - IAF,8+11,Agra,w/o
25-Jun-55,Douglas C-47 (DC-3),,Indian Air Force - IAF,11+8,Agra,w/o
29-Mar-55,Douglas C-47A-20-DK (DC-3),VT-CUZ,Airways (India),0,Khowai Airport (IXN),w/o
2-Feb-55,Douglas C-47A-20-DK (DC-3),VT-CVB,Indian Airlines,10,Nagpur,w/o
21-Jan-55,Douglas C-47A-25-DK (DC-3),VT-COZ,Indian Airlines,3,near Gauhati-Borjhar Airport (GAU),w/o
15-May-54,Douglas C-47B-30-DK (DC-3),VT-DGO,Jamair,0,Saugaon,w/o
30-Apr-54,Douglas C-47A-DL (DC-3),VT-DEM,Darbhanga Aviation,5,1 km S of Calcutta-Dum Dum Airport (CCU),w/o
25-Feb-54,Douglas C-47A-90-DL (DC-3),VT-ATU,Indian Airlines,3,16 km from Delhi-Safdarjung Airport,w/o
unk. date 1953,Douglas C-47A-30-DK (DC-3),VT-CHG,Jupiter Airways,,,w/o
12-Dec-53,Douglas C-47A-DK (DC-3),VT-CHF,Indian Airlines,13,"1,2 km from Nagpur-Sonegaon Airport (NAG)",w/o
25-Jul-53,de Havilland DH-106 Comet 1,G-ALYR,British Overseas Airways Corporation - BOAC,0,Calcutta-Dum Dum Airport (CCU),w/o
9-May-53,Douglas C-47A-25-DK (DC-3),VT-AUD,Air-India,18,32 km S of Delhi,w/o
9-May-53,Douglas C-47A-25-DK (DC-3),VT-AXD,Air Services of India,0,Bombay-Juhu Airport,w/o
2-May-53,de Havilland DH-106 Comet 1,G-ALYV,British Overseas Airways Corporation - BOAC,43,32 km NW of Calcutta-Dum Dum Airport (CCU),w/o
14-Apr-53,Douglas C-47A-70-DL (DC-3),VT-AUJ,Airways (India),3,80 km SW of Gauhati,w/o
14-Mar-53,Convair CV-240-7,AP-AEG,Orient Airways,16,S of Kalahasahar,w/o
22-Dec-52,Douglas C-47 (DC-3),,Indian Air Force - IAF,3,"near Kamar, Uttar Pradesh",w/o
12-Nov-52,Douglas C-47-DL (DC-3),VT-CLE,Bharat Airways,0,Agartala,w/o
22-Oct-52,Douglas C-47A-15-DK (DC-3),AP-AAZ,Orient Airways,1,Jamshedpur,w/o
30-Apr-52,Douglas C-47A-25-DK (DC-3),VT-AUN,Deccan Airways,9,Delhi-Safdarjung Airport,w/o
10-Apr-52,Douglas C-47A-25-DK (DC-3),VT-DFN,Kalinga Airlines,4,Agartala,w/o
27-Feb-52,Douglas C-47 (DC-3),HJ880,Indian Air Force - IAF,0,Palta Lake,w/o
19-Feb-52,Douglas C-47A-70-DL (DC-3),VT-AXE,Deccan Airways,3,Nagpur-Sonegaon Airport (NAG),w/o
8-Feb-52,Douglas C-47A-1-DK (DC-3),VT-COK,Indian National Airways,0,near Bagdogra,w/o
31-Dec-51,Douglas C-47A-30-DK Dakota III,VT-COA,Kalinga Airlines,3,Calcutta-Dum Dum Airport (CCU),w/o
21-Nov-51,Douglas C-47A-25-DK (DC-3),VT-AUO,Deccan Airways,16,Calcutta-Dum Dum Airport (CCU),w/o
14-Nov-51,Douglas C-47A-30-DK (DC-3),VT-CKU,Airways (India),0,Gauhati-Borjhar Airport (GAU),w/o
15-Sep-51,Douglas C-47A-30-DK Dakota III,VT-CCA,Air-India,1,Bangalore-Hindustan Airport (BLR),w/o
27-Aug-51,Douglas C-47 (DC-3),HJ913,Indian Air Force - IAF,0,Wular Lake,w/o
12-Jul-51,Douglas C-47B-1-DL (DC-3),VT-CHT,Indamer,3,48 km NW of Tezpur,w/o
13-Dec-50,Douglas C-47B-5-DK (DC-3),VT-CFK,Air-India,21,near Kil-Kotagiri,w/o
26-Sep-50,Douglas C-47A-20-DK (DC-3),VT-DAT,Air-India,,Barrackpore Air Force Station,w/o
17-Jul-50,Douglas C-47A-90-DL (DC-3),VT-ATS,Indian National Airways,22,10 km SE of Pathankot,w/o
17-May-50,Douglas C-47A-20-DK (DC-3),VT-CHB,Airways (India),0,Balurghat Airport (RGH),w/o
18-Apr-50,Douglas C-47A-20-DL (DC-3),VT-CGM,Bharat Airways,,Calcutta-Dum Dum Airport (CCU),w/o
5-Apr-50,Douglas C-47A-20-DK (DC-3),VT-CJD,Deccan Airways,3,"3,5 km S of Calcutta-Dum Dum Airport (CCU)",w/o
25-Jan-50,Douglas C-47A-25-DK (DC-3),VT-CPQ,"Air Services of India, opb Airways (India)",2,Shella Airstrip,w/o
21-Dec-49,Douglas C-47A-1-DK (DC-3),VP-CAT,Air Ceylon,0,Tiruchirappalli-Civil Airport (TRZ),w/o
12-Jul-49,Lockheed L-749-79-33 Constellation,PH-TDF,KLM Royal Dutch Airlines,45,5 km ENE of Bombay-Santacruz Airport (BOM),w/o
7-Apr-49,Vickers 632 Viking 1B,VT-CIZ,Air-India,0,Marve Beach,w/o
16-Jan-49,Douglas C-47B-5-DK (DC-3),VT-CDZ,Dalmia Jain Airways,13,near Banihal Pass,w/o
21-Nov-48,Douglas C-47-DL (DC-3),VT-AZZ,Indian Overseas Airlines,0,Bombay-Santacruz Airport (BOM),w/o
8-Oct-48,Vickers 604 Viking 1B,VT-CEJ,Indian National Airways,0,Delhi-Palam Airport (DEL),w/o
21-Mar-48,Douglas C-47A-1-DK (DC-3),VP914,Royal Indian Air Force - IAF,0,Poonch Airstrip,sub
6-Feb-48,Vickers 632 Viking 1B,VT-CLY,Air-India,0,Bombay-Santacruz Airport (BOM),w/o
16-Nov-47,Avro 685 York C.1,MW293,Royal Air Force - RAF,0,Bombay-Santa Cruz Airport (BOM),w/o
13-Nov-47,Douglas C-53-DO (DC-3),VT-ATI,Air-India,0,Jammu Airport (IXJ),w/o
31-Oct-47,Douglas C-47A-20-DK (DC-3),MA965,Royal Indian Air Force - IAF,25,within Pir Panjal Range,w/o
27-Sep-47,Douglas C-47 (DC-3),,Royal Indian Air Force - IAF,13,Delhi-Palam Air Force Station (DEL),w/o
18-Sep-47,Douglas C-47A-90-DL (DC-3),VT-CFL,Tata Airlines,,Junagarh,w/o
xx Jun 1947,Douglas C-47-DL (DC-3),VT-AZC,Mistri Airways,,,w/o
10-Jan-47,Douglas C-47A-25-DK (DC-3),VT-AUF,Air-India,,,w/o
3-Nov-46,Avro 685 York C.1,MW225,Royal Air Force - RAF,0,Delhi-Palam Airport (DEL),w/o
20-Oct-46,Avro 685 York C.1,MW208,Royal Air Force - RAF,3,Calcutta-Dum Dum Airport (CCU),w/o
2-Sep-46,Douglas C-47B-1-DK (DC-3),KJ819,Royal Indian Air Force - IAF,0,Barrackpore Air Base,w/o
26-Jun-46,Douglas Dakota IV (DC-3),KP264,Royal Air Force - RAF,0,near Kallar Syedan,w/o
6-Jun-46,Douglas Dakota IV (DC-3),KP261,Royal Air Force - RAF,0,Delhi-Palam Airport (DEL),w/o
6-Jun-46,Douglas Dakota IV (DC-3),KN537,Royal Air Force - RAF,0,Delhi-Palam Airport (DEL),w/o
6-Jun-46,Douglas Dakota III (DC-3),FL509,Royal Air Force - RAF,0,Delhi-Palam Airport (DEL),w/o
17-May-46,Douglas C-47B-1-DK (DC-3),43-48308,United States Army Air Force - USAAF,11,within India,mis
4-May-46,Douglas Dakota IV (DC-3),KP271,Royal Air Force - RAF,0,Alwar,w/o
30-Apr-46,Douglas Dakota III (DC-3),FZ559,Royal Air Force - RAF,12,Pindi-Khut,w/o
15-Feb-46,Short S.25 Sunderland 3,G-AGET,British Overseas Airways Corporation - BOAC,1,Calcutta,w/o
7-Feb-46,Douglas Dakota IV (DC-3),KP219,Royal Air Force - RAF,0,Dhorro Naro,w/o
29-Jan-46,Douglas C-47A-25-DK (DC-3),42-93339,United States Army Air Force - USAAF,2,Barrackpore Air Base,w/o
28-Jan-46,Douglas Dakota IV (DC-3),KP236,Royal Air Force - RAF,0,Poona RAF Station (PNQ),w/o
24-Jan-46,Douglas Dakota IV (DC-3),KN659,Royal Air Force - RAF,0,Vadodara,w/o
23-Dec-45,Douglas Dakota III (DC-3),FL537,Royal Air Force - RAF,0,Patenga,w/o
24-Oct-45,Douglas Dakota IV (DC-3),KN678,Royal Air Force - RAF,0,Arkonam,w/o
23-Oct-45,Douglas C-47B-20-DK (DC-3),43-49683,United States Army Air Force - USAAF,,,w/o
12-Oct-45,Douglas C-47B-20-DK (DC-3),43-49678,United States Army Air Force - USAAF,,8 km ENE of Calcutta-Dum Dum Airport (CCU),w/o
3-Oct-45,Douglas Dakota IV (DC-3),KN526,Royal Air Force - RAF,0,Jodhpur Airport (JDH),w/o
19-Sep-45,Douglas Dakota III (DC-3),KG538,Royal Air Force - RAF,0,Calcutta-Dum Dum Airport (CCU),w/o
9-Sep-45,Curtiss C-46A-35-CU Commando,42-3608,United States Army Air Force - USAAF,,Misamari,w/o
4-Sep-45,Consolidated C-87 Liberator Express,44-39298,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
4-Sep-45,Consolidated C-87 Liberator Express,44-39294,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
4-Sep-45,Consolidated C-87 Liberator Express,44-39264,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
31-Aug-45,Curtiss C-46A-5-CK Commando,43-47003,United States Army Air Force - USAAF,,56 km NW of Dibrugarh-Chabua Airport (DIB),w/o
26-Aug-45,Curtiss C-46A-50-CU Commando,42-101130,United States Army Air Force - USAAF,,"1,5 km SW of Misamari",w/o
20-Aug-45,Curtiss C-46A-60-CK Commando,43-47392,United States Army Air Force - USAAF,,Ramrauli RAF Station,w/o
17-Aug-45,Douglas Dakota III (DC-3),FL603,Royal Air Force - RAF,9,near Dahanu,w/o
