model,accuracy,precision,recall,f1
Logistic Regression,0.7363677332131591,0.6232986389111289,0.8717805151175811,0.726890756302521
KNN (k=5),0.7305092383956737,0.6567481402763018,0.6920492721164614,0.6739367502726281
GaussianNB,0.5423614240648941,0.46421267893660534,0.8896976483762598,0.6100979074678441
